网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9105(0.0591),1.65(0.74),5.8(0.3)
INS,1000,0.6588(0.0487),31.05(4.49),73.3(3.8)
Water,1000,0.4242(0.0370),50.25(2.73),45.4(2.7)
Alarm,1000,0.5770(0.0437),42.00(5.16),131.7(7.1)
Hailfinder,1000,0.3302(0.0444),87.75(6.11),274.3(12.5)
HEPAR,1000,0.2631(0.0148),148.80(6.70),373.6(32.1)
Win95pts,1000,0.3305(0.0455),167.30(13.21),567.0(54.8)
