   1,  0.84000,  0.84000,  0.99087,  0.84000,20.5, -10740.181,     77.249,  46,  23,  17,   6,   6, 651,     -1.000
   2,  0.80556,  0.80556,  0.98935,  0.80556,24.0, -10731.080,     77.781,  46,  19,  20,   7,   7, 650,     -1.000
   3,  0.79730,  0.76623,  0.99087,  0.83099,22.5, -10630.427,     72.185,  43,  22,  15,   9,   6, 651,     -1.000
   4,  0.76316,  0.76316,  0.98630,  0.76316,26.0, -10754.370,     77.727,  46,  21,  16,   9,   9, 648,     -1.000
   5,  0.79167,  0.78082,  0.98935,  0.80282,24.5, -10832.908,     73.734,  45,  19,  19,   8,   7, 650,     -1.000
   6,  0.81579,  0.83784,  0.98782,  0.79487,23.0, -10233.596,     80.610,  48,  22,  18,   6,   8, 649,     -1.000
   7,  0.84932,  0.86111,  0.99087,  0.83784,21.0, -10676.244,     78.075,  47,  21,  20,   5,   6, 651,     -1.000
   8,  0.79167,  0.76000,  0.99087,  0.82609,23.5, -10886.554,     71.955,  43,  20,  17,   9,   6, 651,     -1.000
   9,  0.85714,  0.86842,  0.99087,  0.84615,19.0, -10505.764,     78.030,  47,  25,  16,   5,   6, 651,     -1.000
  10,  0.82432,  0.85915,  0.98782,  0.79221,23.5, -10883.898,     80.732,  49,  20,  21,   5,   8, 649,     -1.000
Avg,  0.81359,  0.81423,  0.98950,  0.81397,22.750, -10687.502,     76.808, 46.000,       NaN
Std,  0.02797,  0.04174,  0.00159,  0.02517,1.965,    187.330,      2.989,  1.844,       NaN
