网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9110(0.0592),1.60(0.77),4.0(0.1)
INS,1000,0.6815(0.0617),29.40(5.47),27.3(1.2)
Water,1000,0.4531(0.0186),47.95(1.42),20.6(1.4)
Alarm,1000,0.8346(0.0304),19.30(3.40),44.1(1.9)
Hailfinder,1000,0.6269(0.0484),45.50(4.80),53.2(3.3)
HEPAR,1000,0.5432(0.0177),83.95(2.67),59.5(3.1)
Win95pts,1000,0.6566(0.0399),73.25(7.38),86.5(4.3)
AND,1000,0.6620(0.0142),211.10(9.10),347.7(25.0)
