网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9091(0.0619),1.70(0.84),5.3(0.3)
INS,1000,0.6786(0.0513),29.35(4.81),58.5(2.6)
Water,1000,0.4288(0.0152),49.90(1.14),36.0(1.8)
Alarm,1000,0.6090(0.0430),37.25(4.09),115.2(5.6)
Hailfinder,1000,0.5031(0.0329),62.40(3.51),160.3(9.1)
HEPAR,1000,0.4604(0.0321),98.55(6.99),166.1(10.6)
Win95pts,1000,0.4658(0.0349),121.20(7.54),368.5(30.3)
AND,1000,0.3462(0.0123),529.05(14.67),4993.4(457.1)
