Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.44737,0.34694,0.96933,0.62963,45,-9138.381,201.125
2,0.5,0.38614,0.97546,0.70909,40.5,-8788.707,194.577
3,0.4557,0.36,0.96626,0.62069,45,-9092.348,202.779
4,0.60256,0.47475,0.98466,0.82456,33.5,-8803.401,177.52
5,0.58537,0.47059,0.97853,0.77419,35,-8806.766,190.438
6,0.62195,0.50495,0.9816,0.80952,32.5,-8914.253,202.838
7,0.55422,0.45098,0.97239,0.71875,38,-8750.202,188.487
8,0.60494,0.47573,0.98466,0.83051,32.5,-8671.741,193.606
9,0.60241,0.4902,0.97853,0.78125,34,-8871.857,191.729
10,0.64634,0.51456,0.98773,0.86885,29.5,-8643.227,190.856
Avg,0.56209,0.44748,0.97791,0.7567,36.55,-8848.088,193.396
Std,0.06687,0.05765,0.00669,0.08043,5.111,154.517,7.297
