Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.45402,0.3278,0.99407,0.73832,97.5,-32895.273,562.962
2,0.52809,0.38525,0.99619,0.83929,85,-32579.81,550.132
3,0.46512,0.32787,0.99577,0.8,93,-33090.45,547.727
4,0.50867,0.36667,0.99619,0.83019,88,-33023.802,557.387
5,0.45665,0.3278,0.9945,0.75238,96.5,-32978.901,578.52
6,0.52273,0.37705,0.99661,0.85185,85,-32758.685,553.564
7,0.50877,0.3551,0.99788,0.89691,84.5,-32523.749,554.295
8,0.49425,0.35833,0.99534,0.7963,91,-32748.026,556.294
9,0.46893,0.34156,0.99407,0.74775,95.5,-32805.205,584.495
10,0.47059,0.33058,0.99619,0.81633,92,-32661.73,537.949
Avg,0.48778,0.3498,0.99568,0.80693,90.8,-32806.563,558.333
Std,0.02653,0.02067,0.00115,0.0481,4.697,179.848,13.239
