Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.92857,0.86667,1,1,1.5,-2264.464,29.053
2,0.8,0.75,0.96429,0.85714,3,-2414.917,28.793
3,0.93333,0.875,1,1,1,-2343.839,29.349
4,1,1,1,1,0.5,-2381.475,29.337
5,0.92857,0.86667,1,1,1.5,-2283.657,29.097
6,0.92857,0.86667,1,1,1.5,-2293.441,28.735
7,0.8,0.75,0.96429,0.85714,3,-2231.21,29.139
8,0.92857,0.86667,1,1,1.5,-2337.108,29.127
9,0.92857,0.86667,1,1,1.5,-2262.794,28.81
10,0.93333,0.875,1,1,1,-2278.818,29.207
Avg,0.91095,0.85833,0.99286,0.97143,1.6,-2309.172,29.065
Std,0.05925,0.06667,0.01429,0.05714,0.768,55.172,0.208
