Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.6207 ,0.6279 ,0.9741 ,0.6136 ,36.00 ,-11925.41 ,444.68 
2,0.5556 ,0.5952 ,0.9650 ,0.5208 ,44.00 ,-11740.75 ,453.71 
3,0.4512 ,0.4684 ,0.9635 ,0.4353 ,51.50 ,-11729.44 ,453.96 
4,0.5488 ,0.5696 ,0.9696 ,0.5294 ,43.50 ,-12204.54 ,454.35 
5,0.6889 ,0.7209 ,0.9757 ,0.6596 ,31.00 ,-11330.74 ,462.22 
6,0.5422 ,0.5422 ,0.9711 ,0.5422 ,42.50 ,-11280.41 ,452.32 
7,0.5570 ,0.5366 ,0.9757 ,0.5790 ,40.00 ,-12062.09 ,452.14 
8,0.5465 ,0.5663 ,0.9680 ,0.5281 ,43.50 ,-12427.95 ,450.53 
9,0.5000 ,0.4884 ,0.9696 ,0.5122 ,45.00 ,-11783.63 ,455.71 
10,0.4607 ,0.4824 ,0.9604 ,0.4409 ,51.50 ,-12198.48 ,448.58 
Avg,0.5472 ,0.5598 ,0.9693 ,0.5361 ,42.85 ,-11868.34 ,452.82 
Std,0.0668 ,0.0723 ,0.0049 ,0.0658 ,5.93 ,354.03 ,4.37 
