Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.44848,0.30833,0.99661,0.82222,94,-16583.493,457.328
2,0.45294,0.31429,0.99619,0.81053,93.5,-16540.372,456.084
3,0.4497,0.31148,0.99619,0.80851,94,-16673.903,454.676
4,0.40123,0.26971,0.99619,0.78313,99.5,-16714.83,425.966
5,0.44785,0.30041,0.99788,0.87952,91.5,-16458.936,463.205
6,0.40351,0.28395,0.99365,0.69697,103.5,-16721.217,459.906
7,0.44048,0.30328,0.99619,0.80435,95,-16507.337,440.591
8,0.42073,0.28631,0.99619,0.7931,97.5,-16677.664,443.655
9,0.42683,0.28689,0.99704,0.83333,95,-16277.56,440.509
10,0.41566,0.28395,0.99577,0.77528,98.5,-16476.316,438.625
Avg,0.43074,0.29486,0.99619,0.80069,96.2,-16563.163,448.055
Std,0.01873,0.01394,0.00102,0.04437,3.363,133.185,11.283
