Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.93333,0.875,1,1,1,-6832.718,41.169
2,0.93333,0.875,1,1,1,-6861.412,41.229
3,0.93333,0.875,1,1,1,-6661.593,41.264
4,1,1,1,1,1,-6857.983,42.27
5,0.73333,0.73333,0.92857,0.73333,4.5,-6766.432,41.279
6,1,1,1,1,1,-6710.112,42.958
7,0.92857,0.86667,1,1,1.5,-6777.858,41.907
8,1,1,1,1,0,-6746.844,41.586
9,0.92857,0.86667,1,1,1.5,-6756.491,41.152
10,0.92857,0.86667,1,1,1.5,-6773.924,41.689
Avg,0.9319,0.89583,0.99286,0.97333,1.4,-6774.537,41.65
Std,0.07306,0.07925,0.02143,0.08,1.114,59.977,0.558
