Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.42353,0.28125,0.99351,0.85714,51,-15683.558,206.53
2,0.40698,0.27132,0.99134,0.81395,52.5,-15549.395,211.802
3,0.45977,0.30769,0.99567,0.90909,48,-15401.629,207.335
4,0.43182,0.28788,0.99351,0.86364,50,-15658.486,214.552
5,0.4186,0.28125,0.99134,0.81818,52,-15582.55,210.673
6,0.43529,0.28682,0.99567,0.90244,49.5,-15329.178,211.812
7,0.48352,0.33333,0.99351,0.88,47,-15533.602,211.452
8,0.5,0.33333,1,1,44.5,-15455.399,211.171
9,0.48235,0.32283,0.99784,0.95349,46.5,-15612.675,209.439
10,0.40964,0.26984,0.99351,0.85,52,-15603.261,210.212
Avg,0.44515,0.29756,0.99459,0.88479,49.3,-15540.973,210.498
Std,0.03201,0.02345,0.00261,0.05549,2.571,107.987,2.196
