Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.62651,0.5098,0.9816,0.8125,32,-16478.779,225.599
2,0.61798,0.54455,0.96626,0.71429,35.5,-16441.778,220.959
3,0.63736,0.56863,0.96626,0.725,34,-16682.176,238.432
4,0.48101,0.38,0.96933,0.65517,43,-17100.532,229.807
5,0.62921,0.54902,0.96933,0.73684,34,-16702.997,235.073
6,0.54762,0.46,0.96626,0.67647,40,-17059.739,225.921
7,0.66667,0.57692,0.97546,0.78947,30,-16450.691,227.811
8,0.51807,0.43434,0.96319,0.64179,42.5,-16609.274,228.337
9,0.55056,0.47573,0.96012,0.65333,40.5,-16838.711,234.279
10,0.6092,0.52475,0.96933,0.72603,35.5,-16933.033,238.781
Avg,0.58842,0.50238,0.96871,0.71309,36.7,-16729.771,230.5
Std,0.05703,0.06047,0.00579,0.05472,4.279,232.562,5.613
