Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.43023,0.28682,0.99351,0.86047,50.5,-7991.786,178.963
2,0.39286,0.25984,0.99134,0.80488,53.5,-8216.377,183.476
3,0.39759,0.25581,0.99567,0.89189,51.5,-8173.209,177.443
4,0.4186,0.27692,0.99351,0.85714,51,-8287.375,182.08
5,0.36047,0.23664,0.98918,0.7561,55.5,-8398.197,179.648
6,0.38272,0.24409,0.99567,0.88571,52.5,-8243.111,183.357
7,0.38095,0.24615,0.99351,0.84211,53,-8195.374,181.933
8,0.43678,0.29231,0.99351,0.86364,50,-8175.782,179.887
9,0.42857,0.28125,0.99567,0.9,50,-8178.821,181.408
10,0.4,0.26154,0.99351,0.85,52,-8107.47,177.279
Avg,0.40288,0.26414,0.99351,0.85119,51.95,-8196.75,180.547
Std,0.02372,0.01828,0.00194,0.04096,1.65,101.305,2.134
