Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.28972,0.248,0.98105,0.34831,79.5,-57903.311,672.136
2,0.52137,0.48031,0.98497,0.57009,58.5,-56334.832,672.425
3,0.5045,0.4375,0.98758,0.59574,57,-57036.011,686.12
4,0.4,0.36508,0.98105,0.44231,72,-57742.892,710.025
5,0.5122,0.49606,0.9817,0.52941,62.5,-56485.56,676.952
6,0.5,0.45736,0.98431,0.5514,60.5,-56302.772,678.663
7,0.46667,0.4375,0.9817,0.5,66,-57851.432,692.628
8,0.48246,0.43307,0.98497,0.54455,61.5,-56202.277,676.847
9,0.57265,0.52756,0.98693,0.62617,52.5,-56646.547,671.061
10,0.35455,0.31707,0.98105,0.40206,75.5,-57598.976,691.365
Avg,0.46041,0.41995,0.98353,0.51101,64.55,-57010.461,682.822
Std,0.08187,0.08147,0.00241,0.08379,8.184,663.799,11.697
