Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.49107,0.42636,0.98693,0.57895,58.5,-29444.798,587.054
2,0.32381,0.27419,0.98301,0.39535,75,-30023.034,580.705
3,0.5,0.4375,0.98693,0.58333,58,-29757.928,583.655
4,0.38095,0.31746,0.98562,0.47619,68,-30163.448,557.251
5,0.38318,0.328,0.98431,0.46067,69.5,-30130.764,568.563
6,0.44643,0.39683,0.98431,0.5102,65,-29747.331,590.676
7,0.4188,0.37984,0.9817,0.46667,69.5,-30121.954,563.619
8,0.44248,0.39683,0.98366,0.5,66,-29802.976,593.67
9,0.43396,0.35385,0.98824,0.56098,61,-29978.493,578.503
10,0.46429,0.4,0.98627,0.55319,61,-29651.069,571.661
Avg,0.4285,0.37109,0.9851,0.50855,65.15,-29882.18,577.536
Std,0.05121,0.04911,0.00193,0.05768,5.23,226.302,11.367
