   1,  0.48000,  0.36842,  0.99199,  0.68852,91.0, -32827.144,    127.705,  14,  42,  72,  19,2352,     -1.000
   2,  0.45882,  0.36111,  0.99032,  0.62903,92.0, -32491.226,    128.487,  14,  39,  69,  23,2354,     -1.000
   3,  0.42775,  0.33945,  0.98864,  0.57812,99.0, -33020.614,    143.346,  16,  37,  72,  27,2349,     -1.000
   4,  0.44706,  0.35185,  0.98990,  0.61290,94.0, -32947.955,    148.839,  15,  38,  70,  24,2353,     -1.000
   5,  0.43275,  0.35238,  0.98782,  0.56061,97.0, -32835.631,    150.480,  17,  37,  68,  29,2351,     -1.000
   6,  0.47674,  0.36607,  0.99199,  0.68333,90.0, -32680.485,    133.331,  15,  41,  71,  19,2354,     -1.000
   7,  0.49425,  0.38393,  0.99199,  0.69355,88.0, -32459.808,    138.213,  16,  43,  69,  19,2354,     -1.000
   8,  0.45977,  0.36697,  0.98948,  0.61538,94.0, -32662.486,    171.547,  20,  40,  69,  25,2351,     -1.000
   9,  0.39286,  0.31429,  0.98739,  0.52381,102.0, -32704.772,    127.646,  14,  33,  72,  30,2350,     -1.000
  10,  0.44444,  0.35514,  0.98907,  0.59375,95.0, -32587.622,    136.983,  15,  38,  69,  26,2352,     -1.000
Avg,  0.45144,  0.35596,  0.98986,  0.61790,94.200, -32721.774,    140.658, 15.600,       NaN
Std,  0.02797,  0.01796,  0.00162,  0.05427,4.045,    176.015,     12.974,  1.744,       NaN
