1,0.8290 ,0.7975 ,0.9924 ,0.8630 ,19.50 ,-10698.73 ,310.22 
2,0.8267 ,0.8158 ,0.9909 ,0.8378 ,21.00 ,-10891.65 ,313.97 
3,0.8052 ,0.7561 ,0.9924 ,0.8611 ,20.00 ,-10566.48 ,298.58 
4,0.8243 ,0.7922 ,0.9924 ,0.8592 ,20.50 ,-10884.93 ,306.96 
5,0.8493 ,0.7949 ,0.9954 ,0.9118 ,18.00 ,-10717.39 ,232.67 
6,0.8250 ,0.8049 ,0.9909 ,0.8462 ,19.00 ,-10381.45 ,234.84 
7,0.7703 ,0.7403 ,0.9894 ,0.8028 ,24.50 ,-10774.88 ,234.21 
8,0.7606 ,0.7105 ,0.9909 ,0.8182 ,25.00 ,-10878.93 ,230.14 
9,0.8571 ,0.8049 ,0.9954 ,0.9167 ,16.00 ,-10559.74 ,227.11 
10,0.7222 ,0.7222 ,0.9848 ,0.7222 ,30.00 ,-10670.19 ,228.29 
Avg,0.8070 ,0.7739 ,0.9915 ,0.8439 ,21.35 ,-10702.44 ,261.70 
Std,0.0428 ,0.0382 ,0.0031 ,0.0558 ,4.08 ,166.22 ,39.61 
