网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9110(0.0592),1.60(0.77),4.9(0.2)
INS,1000,0.6897(0.0272),28.85(1.99),37.8(1.8)
Water,1000,0.4393(0.0170),49.00(1.23),27.5(2.6)
Alarm,1000,0.7408(0.0578),26.55(4.57),59.1(3.2)
Hailfinder,1000,0.5805(0.0523),50.20(5.39),73.9(1.8)
HEPAR,1000,0.5133(0.0191),87.35(2.57),82.4(2.2)
Win95pts,1000,0.6196(0.0398),78.75(7.60),206.6(27.4)
AND,1000,0.5773(0.0154),268.30(10.24),987.1(21.9)
