网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9243(0.0213),1.35(0.32),6.6(0.6)
INS,1000,0.5958(0.0454),36.35(3.67),95.6(4.4)
Water,1000,0.4105(0.0246),51.60(2.05),58.6(2.8)
Alarm,1000,0.4505(0.0440),55.70(4.37),201.7(15.1)
Hailfinder,1000,0.1746(0.0254),119.90(5.73),507.3(32.4)
HEPAR,1000,0.1473(0.0299),198.50(9.38),643.0(44.6)
Win95pts,1000,0.2255(0.0245),214.10(7.82),934.8(111.1)
