网络名,数据集大小,F1均值(标准差)
Asia,500,0.9039(0.0571)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9509(0.0322)
INS,500,0.6417(0.0467)
INS,1000,0.6644(0.0257)
INS,3000,0.7570(0.0471)
Water,500,0.4221(0.0189)
Water,1000,0.4375(0.0164)
Water,3000,0.5133(0.0255)
Alarm,500,0.7802(0.0554)
Alarm,1000,0.7874(0.0417)
Alarm,3000,0.8347(0.0382)
Hailfinder,500,0.5962(0.0545)
Hailfinder,1000,0.6320(0.0595)
Hailfinder,3000,0.6423(0.0420)
HEPAR,500,0.4170(0.0381)
HEPAR,1000,0.5121(0.0319)
HEPAR,3000,0.6543(0.0156)
Pathfinder,500,0.2932(0.0257)
Pathfinder,1000,0.3313(0.0411)
Pathfinder,3000,0.4254(0.0310)
AND,500,0.5491(0.0109)
AND,1000,0.5931(0.0227)
AND,3000,0.6708(0.0188)
