网络名,数据集大小,SHD均值(标准差)
Asia,500,1.70(0.87)
Asia,1000,1.60(0.77)
Asia,3000,1.15(0.45)
INS,500,31.25(3.81)
INS,1000,31.10(2.31)
INS,3000,24.95(4.76)
Water,500,49.80(1.36)
Water,1000,49.15(1.12)
Water,3000,45.15(2.06)
Alarm,500,22.55(4.43)
Alarm,1000,23.30(3.45)
Alarm,3000,21.75(3.61)
Hailfinder,500,47.80(4.90)
Hailfinder,1000,44.90(5.88)
Hailfinder,3000,44.95(4.45)
HEPAR,500,102.55(5.90)
HEPAR,1000,89.95(5.00)
HEPAR,3000,70.00(2.25)
Pathfinder,500,189.00(6.06)
Pathfinder,1000,185.50(8.76)
Pathfinder,3000,172.60(6.59)
AND,500,284.25(7.06)
AND,1000,258.50(14.45)
AND,3000,221.35(13.24)
