网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9110(0.0592),1.60(0.77),5.4(0.7)
INS,1000,0.6911(0.0433),28.30(3.40),49.5(1.9)
Water,1000,0.4227(0.0231),50.55(1.77),32.8(1.5)
Alarm,1000,0.6247(0.0554),36.35(5.10),94.7(3.1)
Hailfinder,1000,0.5033(0.0297),61.90(4.09),128.5(6.9)
HEPAR,1000,0.5069(0.0299),89.65(4.55),124.4(6.2)
Win95pts,1000,0.4934(0.0455),111.65(11.03),271.8(12.5)
AND,1000,0.4327(0.0232),437.60(24.68),3919.1(410.6)
