网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9110(0.0592),1.60(0.77),5.9(0.4)
INS,1000,0.6429(0.0410),32.55(3.50),46.1(1.5)
Water,1000,0.4482(0.0231),48.30(1.72),44.2(13.1)
Alarm,1000,0.7399(0.0714),25.70(5.97),242.3(33.0)
Hailfinder,1000,0.5884(0.0466),49.90(4.84),273.6(90.5)
HEPAR,1000,0.5066(0.0185),88.20(3.54),96.9(8.3)
Win95pts,1000,0.5797(0.0599),86.85(10.78),136.0(4.8)
AND,1000,0.5563(0.0179),282.00(10.29),761.4(78.3)
