Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.5505 ,0.4839 ,0.9889 ,0.6383 ,53.00 ,-28171.70 ,762.89 
2,0.5248 ,0.4530 ,0.9895 ,0.6235 ,55.50 ,-28155.39 ,762.39 
3,0.5577 ,0.4754 ,0.9909 ,0.6744 ,51.00 ,-28338.94 ,751.95 
4,0.5510 ,0.4737 ,0.9909 ,0.6585 ,53.00 ,-28636.51 ,686.12 
5,0.5283 ,0.4590 ,0.9889 ,0.6222 ,55.00 ,-28370.87 ,733.96 
6,0.5481 ,0.4790 ,0.9895 ,0.6405 ,53.50 ,-28059.67 ,778.23 
7,0.5534 ,0.4790 ,0.9902 ,0.6552 ,52.50 ,-28847.48 ,718.70 
8,0.5192 ,0.4426 ,0.9895 ,0.6279 ,55.00 ,-28518.00 ,769.40 
9,0.5686 ,0.4915 ,0.9909 ,0.6744 ,51.00 ,-28855.27 ,760.45 
10,0.5577 ,0.4754 ,0.9909 ,0.6744 ,51.00 ,-28843.73 ,740.87 
Avg,0.5459 ,0.4713 ,0.9900 ,0.6489 ,53.05 ,-28479.76 ,746.50 
Std,0.0154 ,0.0143 ,0.0008 ,0.0202 ,1.64 ,290.35 ,26.24 
