Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.9333,0.875,1,1,1,-6832.72,68.46
2,0.9333,0.875,1,1,1,-6861.41,69.24
3,0.9333,0.875,1,1,1,-6661.59,67.9
4,1,1,1,1,1,-6857.98,69.14
5,0.7333,0.7333,0.9286,0.7333,4.5,-6766.43,66.94
6,1,1,1,1,1,-6710.11,69.59
7,0.9286,0.8667,1,1,1.5,-6777.86,69.17
8,1,1,1,1,0,-6746.84,68.21
9,0.9286,0.8667,1,1,1.5,-6756.49,66.1
10,0.9286,0.8667,1,1,1.5,-6773.92,68.07
Avg,0.9319,0.8958,0.9929,0.9733,1.4,-6774.54,68.28
Std,0.0731,0.0793,0.0214,0.08,1.11,59.98,1.05
