Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.3929 ,0.2558 ,0.9935 ,0.8462 ,52.50 ,-8061.18 ,214.17 
2,0.3457 ,0.2222 ,0.9913 ,0.7778 ,56.00 ,-8254.71 ,219.28 
3,0.4096 ,0.2656 ,0.9957 ,0.8947 ,51.00 ,-8116.54 ,219.43 
4,0.4074 ,0.2598 ,0.9978 ,0.9429 ,50.50 ,-8202.14 ,216.93 
5,0.4268 ,0.2756 ,0.9978 ,0.9460 ,49.50 ,-8263.04 ,214.13 
6,0.3765 ,0.2462 ,0.9913 ,0.8000 ,54.00 ,-8316.85 ,219.50 
7,0.4000 ,0.2540 ,0.9978 ,0.9412 ,51.00 ,-8107.06 ,217.32 
8,0.3704 ,0.2381 ,0.9935 ,0.8333 ,54.00 ,-8153.66 ,214.43 
9,0.3580 ,0.2320 ,0.9913 ,0.7838 ,55.50 ,-8246.37 ,224.14 
10,0.4096 ,0.2656 ,0.9957 ,0.8947 ,51.00 ,-8098.35 ,212.35 
Avg,0.3897 ,0.2515 ,0.9946 ,0.8661 ,52.50 ,-8181.99 ,217.17 
Std,0.0247 ,0.0159 ,0.0026 ,0.0632 ,2.13 ,81.78 ,3.36 
