Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.5926 ,0.4898 ,0.9755 ,0.7500 ,36.00 ,-16561.62 ,279.64 
2,0.6941 ,0.5842 ,0.9847 ,0.8551 ,27.50 ,-16024.10 ,248.63 
3,0.6471 ,0.5446 ,0.9785 ,0.7971 ,31.50 ,-16461.23 ,297.67 
4,0.6250 ,0.5208 ,0.9785 ,0.7813 ,34.00 ,-16553.97 ,300.94 
5,0.6747 ,0.5600 ,0.9847 ,0.8485 ,29.00 ,-16231.19 ,317.49 
6,0.6753 ,0.5652 ,0.9847 ,0.8387 ,31.00 ,-16303.09 ,302.31 
7,0.7024 ,0.5842 ,0.9877 ,0.8806 ,26.50 ,-16187.46 ,307.95 
8,0.7262 ,0.6040 ,0.9908 ,0.9105 ,24.50 ,-15963.66 ,281.39 
9,0.7439 ,0.6162 ,0.9939 ,0.9385 ,23.50 ,-16181.98 ,320.32 
10,0.6342 ,0.5306 ,0.9785 ,0.7879 ,33.00 ,-16521.53 ,313.81 
Avg,0.6715 ,0.5600 ,0.9837 ,0.8388 ,29.65 ,-16298.98 ,297.01 
Std,0.0448 ,0.0372 ,0.0057 ,0.0572 ,3.94 ,207.02 ,20.73 
