Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.7049 ,0.5489 ,0.9996 ,0.9847 ,59.50 ,-97001.17 ,2218.07 
2,0.6774 ,0.5339 ,0.9979 ,0.9265 ,65.00 ,-96987.86 ,2363.84 
3,0.6957 ,0.5470 ,0.9987 ,0.9552 ,62.00 ,-96638.17 ,2315.03 
4,0.6848 ,0.5339 ,0.9987 ,0.9546 ,63.00 ,-97031.04 ,2341.43 
5,0.6722 ,0.5284 ,0.9979 ,0.9237 ,67.50 ,-96884.89 ,2370.51 
6,0.6222 ,0.4786 ,0.9970 ,0.8889 ,74.00 ,-97244.13 ,2315.94 
7,0.6393 ,0.4979 ,0.9970 ,0.8931 ,71.50 ,-97174.89 ,2372.45 
8,0.6471 ,0.5106 ,0.9966 ,0.8832 ,70.50 ,-96848.35 ,2377.21 
9,0.6898 ,0.5489 ,0.9979 ,0.9281 ,63.50 ,-97094.23 ,2379.30 
10,0.6702 ,0.5431 ,0.9962 ,0.8750 ,69.00 ,-96669.22 ,2342.03 
Avg,0.6704 ,0.5271 ,0.9978 ,0.9213 ,66.55 ,-96957.40 ,2339.58 
Std,0.0251 ,0.0228 ,0.0010 ,0.0344 ,4.44 ,189.37 ,46.43 
