Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.6129 ,0.5938 ,0.9856 ,0.6333 ,50.00 ,-155553.72 ,1737.87 
2,0.6525 ,0.6260 ,0.9882 ,0.6814 ,45.50 ,-154853.55 ,1740.52 
3,0.5748 ,0.5659 ,0.9830 ,0.5840 ,55.50 ,-155362.95 ,1745.26 
4,0.6555 ,0.6290 ,0.9882 ,0.6842 ,45.00 ,-155077.60 ,1742.87 
5,0.6613 ,0.6406 ,0.9876 ,0.6833 ,44.00 ,-155032.27 ,1748.30 
6,0.6777 ,0.6406 ,0.9895 ,0.7193 ,41.00 ,-154794.21 ,1741.08 
7,0.6364 ,0.5969 ,0.9882 ,0.6814 ,45.50 ,-153877.23 ,1729.18 
8,0.6496 ,0.6230 ,0.9882 ,0.6786 ,46.00 ,-155921.69 ,1730.55 
9,0.6983 ,0.6378 ,0.9922 ,0.7714 ,37.50 ,-155027.45 ,1718.31 
10,0.6441 ,0.6032 ,0.9889 ,0.6909 ,45.00 ,-154944.95 ,1741.45 
Avg,0.6463 ,0.6157 ,0.9880 ,0.6808 ,45.50 ,-155044.56 ,1737.54 
Std,0.0322 ,0.0235 ,0.0023 ,0.0463 ,4.56 ,510.22 ,8.54 
