Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.5732 ,0.4748 ,0.9724 ,0.7231 ,37.50 ,-8750.16 ,339.54 
2,0.5500 ,0.4490 ,0.9724 ,0.7097 ,39.00 ,-8692.86 ,322.14 
3,0.6076 ,0.4898 ,0.9816 ,0.8000 ,34.00 ,-8776.62 ,344.58 
4,0.5714 ,0.4490 ,0.9816 ,0.7857 ,36.00 ,-8719.70 ,287.92 
5,0.5070 ,0.3913 ,0.9785 ,0.7200 ,41.00 ,-8980.20 ,329.24 
6,0.5974 ,0.4694 ,0.9847 ,0.8214 ,34.00 ,-8941.16 ,347.71 
7,0.5128 ,0.4000 ,0.9755 ,0.7143 ,40.00 ,-8650.00 ,309.09 
8,0.6375 ,0.5050 ,0.9877 ,0.8644 ,30.50 ,-8587.05 ,247.68 
9,0.6104 ,0.4845 ,0.9847 ,0.8246 ,33.50 ,-8731.34 ,246.74 
10,0.5385 ,0.4286 ,0.9755 ,0.7241 ,39.00 ,-8627.85 ,240.43 
Avg,0.5706 ,0.4541 ,0.9795 ,0.7687 ,36.45 ,-8745.70 ,301.51 
Std,0.0412 ,0.0361 ,0.0051 ,0.0541 ,3.22 ,120.86 ,40.62 
