Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.3875 ,0.2520 ,0.9935 ,0.8378 ,53.50 ,-15619.12 ,248.23 
2,0.4074 ,0.2640 ,0.9957 ,0.8919 ,51.50 ,-15368.32 ,251.99 
3,0.4524 ,0.2969 ,0.9978 ,0.9500 ,48.00 ,-15323.51 ,253.30 
4,0.4375 ,0.2846 ,0.9978 ,0.9460 ,49.50 ,-15685.71 ,253.50 
5,0.4074 ,0.2640 ,0.9957 ,0.8919 ,51.50 ,-15660.08 ,255.98 
6,0.3902 ,0.2540 ,0.9935 ,0.8421 ,53.00 ,-15385.35 ,250.00 
7,0.3494 ,0.2284 ,0.9892 ,0.7436 ,56.50 ,-15681.80 ,250.83 
8,0.4146 ,0.2698 ,0.9957 ,0.8947 ,51.00 ,-15603.82 ,257.32 
9,0.3659 ,0.2381 ,0.9913 ,0.7895 ,55.00 ,-15795.83 ,249.46 
10,0.4051 ,0.2581 ,0.9978 ,0.9412 ,51.00 ,-15518.39 ,259.05 
Avg,0.4017 ,0.2610 ,0.9948 ,0.8729 ,52.05 ,-15564.19 ,252.97 
Std,0.0291 ,0.0192 ,0.0028 ,0.0656 ,2.39 ,150.47 ,3.38 
