1,0.0686,0.06736,0.97017,0.06989,355,-44584.167,3342.724
2,0.08579,0.0829,0.97172,0.08889,343,-44708.846,3587.014
3,0.112,0.10881,0.97224,0.11538,335,-46204.71,3322.976
4,0.08333,0.08247,0.97,0.08421,353,-48255.392,3414.041
5,0.13867,0.13472,0.9731,0.14286,325,-43044.929,3174.145
6,0.12121,0.12371,0.96931,0.11881,349,-45195.479,3272.948
7,0.12368,0.12272,0.97155,0.12467,336.5,-47761.863,3245.721
8,0.08378,0.08136,0.97172,0.08635,343.5,-45965.807,3329.898
9,0.11429,0.11399,0.97069,0.11458,343,-43955.727,3185.963
10,0.08226,0.0829,0.96897,0.08163,359,-46302.739,3291.64
Avg,0.10136,0.10009,0.97095,0.10273,344.2,-45597.966,3316.707
Std,0.02209,0.02205,0.00127,0.02231,9.758,1547.248,113.327
