Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.8023,0.8519,0.9833,0.7582,22.5,-30969.59,743.96
2,0.8941,0.8837,0.9939,0.9048,12,-29456.47,739.23
3,0.6824,0.7073,0.9772,0.6591,32,-30633.39,751.58
4,0.7654,0.7949,0.9833,0.7381,26,-31068.39,749.15
5,0.8452,0.8554,0.9894,0.8353,17.5,-30389.32,740.76
6,0.8706,0.8605,0.9924,0.881,14,-30079.44,734.22
7,0.6868,0.7403,0.9757,0.6405,33.5,-30825.26,745.03
8,0.85,0.85,0.9909,0.85,18,-29875.57,742.81
9,0.675,0.7297,0.9757,0.6279,35,-31250.01,744.03
10,0.7907,0.8095,0.9848,0.7727,22,-30638.5,741.52
Avg,0.7863,0.8083,0.9846,0.7668,23.25,-30518.59,743.23
Std,0.0775,0.0595,0.0065,0.0956,7.76,539.76,4.64
