Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.5143 ,0.3782 ,0.9953 ,0.8036 ,89.00 ,-32829.49 ,964.26 
2,0.4852 ,0.3504 ,0.9953 ,0.7885 ,93.00 ,-32567.96 ,914.85 
3,0.4826 ,0.3532 ,0.9945 ,0.7615 ,94.50 ,-33042.20 ,926.97 
4,0.5030 ,0.3559 ,0.9970 ,0.8571 ,88.00 ,-32971.56 ,946.56 
5,0.5281 ,0.3917 ,0.9953 ,0.8103 ,87.00 ,-32861.79 ,1019.33 
6,0.4634 ,0.3220 ,0.9966 ,0.8261 ,93.00 ,-32716.87 ,964.71 
7,0.5146 ,0.3761 ,0.9958 ,0.8148 ,89.00 ,-32476.55 ,939.86 
8,0.5202 ,0.3814 ,0.9958 ,0.8182 ,88.00 ,-32696.30 ,946.67 
9,0.4821 ,0.3507 ,0.9949 ,0.7714 ,94.50 ,-32739.88 ,1065.56 
10,0.5318 ,0.3898 ,0.9962 ,0.8364 ,86.00 ,-32590.37 ,894.54 
Avg,0.5025 ,0.3649 ,0.9957 ,0.8088 ,90.20 ,-32749.30 ,958.33 
Std,0.0218 ,0.0209 ,0.0007 ,0.0276 ,3.05 ,170.52 ,47.81 
