Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.7273 ,0.6512 ,0.9909 ,0.8235 ,24.00 ,-5780.81 ,588.19 
2,0.6329 ,0.5952 ,0.9817 ,0.6757 ,33.00 ,-6000.27 ,588.70 
3,0.6154 ,0.5714 ,0.9817 ,0.6667 ,34.00 ,-5946.89 ,588.56 
4,0.7273 ,0.6829 ,0.9878 ,0.7778 ,26.00 ,-5993.57 ,590.61 
5,0.4400 ,0.4177 ,0.9711 ,0.4648 ,48.50 ,-5996.12 ,587.00 
6,0.5000 ,0.4684 ,0.9757 ,0.5362 ,43.50 ,-5959.16 ,589.94 
7,0.7468 ,0.6941 ,0.9894 ,0.8082 ,23.50 ,-5608.74 ,575.22 
8,0.6571 ,0.6216 ,0.9848 ,0.6970 ,33.00 ,-6135.35 ,583.16 
9,0.5897 ,0.5610 ,0.9787 ,0.6216 ,37.00 ,-6083.85 ,578.49 
10,0.7875 ,0.7590 ,0.9894 ,0.8182 ,21.50 ,-5933.99 ,576.93 
Avg,0.6424 ,0.6023 ,0.9831 ,0.6890 ,32.40 ,-5943.87 ,584.68 
Std,0.1056 ,0.0985 ,0.0062 ,0.1165 ,8.46 ,142.79 ,5.50 
