网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9110(0.0592),1.60(0.77),10.4(0.7)
INS,1000,0.6944(0.0473),28.15(4.01),103.4(5.8)
Water,1000,0.4307(0.0212),49.75(1.69),61.1(2.9)
Alarm,1000,0.6311(0.0796),35.95(7.79),207.1(10.5)
Hailfinder,1000,0.5667(0.0479),54.25(5.80),151.2(21.0)
HEPAR,1000,0.5242(0.0272),86.90(5.15),194.5(34.2)
Win95pts,1000,0.5085(0.0415),106.70(7.21),366.6(125.6)
AND,1000,0.4895(0.0197),377.30(15.82),2763.9(150.7)
