1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
1,0.2441,0.32293,0.98279,0.19621,658.5,-110010.545,9008.336, 200       86   35  217  424 24214         -1.000
