网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9100(0.0589),1.70(0.71),5.4(0.2)
INS,1000,0.6713(0.0386),30.05(3.49),59.6(2.8)
Water,1000,0.4353(0.0290),49.35(2.24),36.4(1.9)
Alarm,1000,0.5868(0.0744),40.30(7.39),109.5(3.1)
Hailfinder,1000,0.4072(0.0373),75.40(5.08),179.6(6.5)
HEPAR,1000,0.4064(0.0239),110.85(5.01),213.4(13.0)
Win95pts,1000,0.4034(0.0300),141.70(6.52),364.9(24.5)
AND,1000,0.2441(0.2441),658.50(658.50),9008.3(9008.3)
