网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9105(0.0591),1.65(0.74),6.9(0.5)
INS,1000,0.6502(0.0487),31.80(4.41),80.5(4.2)
Water,1000,0.4309(0.0239),49.90(2.21),55.0(3.0)
Alarm,1000,0.5222(0.0712),47.15(7.53),183.0(10.6)
Hailfinder,1000,0.2621(0.0388),101.15(7.56),306.1(19.3)
HEPAR,1000,0.2195(0.0219),166.40(4.28),436.3(23.1)
Win95pts,1000,0.2890(0.0287),184.50(9.03),641.6(30.3)
