网络名,数据集大小,SHD均值(标准差)
Asia,500,1.80(0.98)
Asia,1000,1.60(0.77)
Asia,3000,1.15(0.45)
INS,500,36.40(3.31)
INS,1000,31.95(2.31)
INS,3000,28.55(5.14)
Water,500,51.15(2.84)
Water,1000,50.60(2.78)
Water,3000,47.25(2.78)
Alarm,500,24.85(3.46)
Alarm,1000,25.70(3.53)
Alarm,3000,24.25(5.30)
Hailfinder,500,50.25(2.86)
Hailfinder,1000,48.80(3.89)
Hailfinder,3000,51.35(4.75)
HEPAR,500,105.10(3.86)
HEPAR,1000,92.40(4.40)
HEPAR,3000,76.25(3.17)
Pathfinder,500,185.20(9.22)
Pathfinder,1000,180.15(5.47)
Pathfinder,3000,169.95(7.29)
AND,500,307.40(13.44)
AND,1000,267.65(9.36)
AND,3000,245.15(11.32)
