网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.8874(0.0667),2.30(1.05),6.7(0.8)
INS,1000,0.5731(0.0408),37.95(3.36),88.4(7.8)
Water,1000,0.3621(0.0493),55.50(3.99),110.9(5.4)
Alarm,1000,0.3910(0.0608),63.75(6.48),236.9(20.9)
Hailfinder,1000,0.0739(0.0210),154.10(3.62),573.8(44.1)
HEPAR,1000,0.0763(0.0184),243.90(4.19),980.2(82.9)
Win95pts,1000,0.1443(0.0257),256.10(10.60),1155.0(87.7)
