Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.68889,0.63265,0.96933,0.7561,31,-46084.873,472.492
2,0.7033,0.62745,0.97546,0.8,28,-45994.734,469.898
3,0.65116,0.58333,0.96933,0.73684,34,-45834.448,467.905
4,0.63736,0.56863,0.96626,0.725,34,-45967.649,460.359
5,0.61111,0.54455,0.96319,0.6962,36.5,-46342.677,425.903
6,0.69231,0.61165,0.97546,0.79747,28.5,-46285.395,472.545
7,0.67442,0.58,0.97853,0.80556,30,-46512.484,475.267
8,0.73034,0.64356,0.9816,0.84416,25.5,-45427.156,472.171
9,0.8,0.72,0.98773,0.9,20,-45246.216,462.191
10,0.69318,0.61616,0.97546,0.79221,29.5,-45511.034,470.488
Avg,0.68821,0.6128,0.97423,0.78535,29.7,-45920.667,464.922
Std,0.04963,0.04649,0.00702,0.05676,4.484,396.193,13.749
