Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.57143,0.48,0.96933,0.70588,38,-16554.181,323.665
2,0.7125,0.57576,0.99387,0.93443,25.5,-16229.634,329.939
3,0.65,0.53061,0.98466,0.83871,31,-16464.93,369.446
4,0.65,0.53061,0.98466,0.83871,31,-16348.705,347.872
5,0.6,0.4898,0.97853,0.77419,35,-16559.514,362.985
6,0.6506,0.55102,0.97853,0.79412,32,-16568.466,335.373
7,0.72941,0.60784,0.9908,0.91176,24,-16079.7,324.678
8,0.6375,0.52577,0.9816,0.80952,32.5,-16126.462,330.392
9,0.64706,0.54455,0.97853,0.7971,31.5,-16385.55,362.76
10,0.60241,0.4902,0.97853,0.78125,34,-16472.791,367.912
Avg,0.64509,0.53262,0.9819,0.81857,31.45,-16378.993,345.502
Std,0.04591,0.03802,0.00664,0.06334,3.934,170.874,17.8
