Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.44444,0.29032,0.99784,0.94737,49,-15616.218,238.044
2,0.40741,0.264,0.99567,0.89189,51.5,-15437.361,240.539
3,0.45679,0.296,1,1,47.5,-15329.312,241.524
4,0.42353,0.28125,0.99351,0.85714,51,-15685.199,248.214
5,0.42169,0.27559,0.99567,0.89744,50.5,-15528.398,242.433
6,0.37349,0.24409,0.99134,0.79487,54.5,-15312.161,243.912
7,0.42169,0.27559,0.99567,0.89744,50.5,-15364.432,240.791
8,0.4,0.25806,0.99567,0.88889,52,-15491.621,242.088
9,0.44578,0.29134,0.99784,0.94872,48.5,-15568.47,236.939
10,0.37805,0.24409,0.99351,0.83784,53.5,-15555.167,246.017
Avg,0.41729,0.27203,0.99567,0.89616,50.85,-15488.834,242.05
Std,0.02654,0.01792,0.00237,0.05606,2.062,119.116,3.22
