Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.3876,0.40984,0.9719,0.36765,84,-166225.208,1816.552
2,0.40336,0.3871,0.97843,0.42105,75,-166495.419,1791.876
3,0.33333,0.30508,0.97974,0.36735,79,-169714.073,1802.841
4,0.44915,0.43802,0.97974,0.46087,70.5,-169635.417,1812.061
5,0.37288,0.37288,0.97582,0.37288,81,-170554.228,1794.238
6,0.39655,0.37097,0.97974,0.42593,74,-168044.071,1798.467
7,0.36134,0.35537,0.97582,0.36752,81.5,-166927.063,1780.651
8,0.30645,0.31148,0.97124,0.30159,91,-171551.558,1795.696
9,0.40336,0.3871,0.97843,0.42105,75,-169244.977,1768.101
10,0.43443,0.424,0.97843,0.44538,72.5,-167807.421,1800.439
Avg,0.38485,0.37618,0.97693,0.39513,78.35,-168619.944,1796.092
Std,0.04113,0.04147,0.00301,0.04547,5.887,1704.723,13.368
