Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.92857,0.86667,1,1,1.5,-1212.607,30.794
2,0.73333,0.73333,0.92857,0.73333,4.5,-1183.316,30.627
3,0.92857,0.86667,1,1,1.5,-1170.496,30.866
4,0.93333,0.875,1,1,1,-1212.704,30.23
5,0.92857,0.86667,1,1,1.5,-1169.708,27.135
6,0.93333,0.875,1,1,1,-1158.442,24.963
7,0.85714,0.75,1,1,2,-1131.305,24.249
8,0.84615,0.73333,1,1,2.5,-1163.441,24.864
9,0.92857,0.86667,1,1,1.5,-1192.271,24.635
10,0.92857,0.86667,1,1,1.5,-1108.197,24.85
Avg,0.89462,0.83,0.99286,0.97333,1.85,-1170.249,27.321
Std,0.06207,0.05988,0.02143,0.08,0.976,31.314,2.8
