Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.5125,0.50617,0.97108,0.51899,44.5,-12524.006,609.13
2,0.41975,0.40476,0.96651,0.4359,51,-12673.294,681.859
3,0.48889,0.48889,0.96499,0.48889,47,-12102.728,662.539
4,0.45349,0.45882,0.96347,0.44828,50.5,-12438.085,679.022
5,0.38462,0.38462,0.96347,0.38462,55,-12783.497,683.092
6,0.50617,0.54667,0.96499,0.47126,48.5,-12492.766,683.429
7,0.48193,0.46512,0.96956,0.5,46,-12279.943,667.822
8,0.38961,0.36585,0.96804,0.41667,52,-13065.651,683.359
9,0.45679,0.45679,0.96651,0.45679,49.5,-12741.228,676.886
10,0.48718,0.46341,0.9726,0.51351,45,-12561.768,671.807
Avg,0.45809,0.45411,0.96712,0.46349,48.9,-12566.297,669.894
Std,0.04384,0.0527,0.00298,0.04132,3.176,256.735,21.374
