Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.47561,0.46988,0.96804,0.48148,47.5,-6608.625,651.669
2,0.55128,0.50588,0.97869,0.60563,38.5,-6695.265,682.309
3,0.54286,0.45238,0.9863,0.67857,36,-6647.86,661.349
4,0.29577,0.26582,0.96804,0.33333,56.5,-6768.591,685.57
5,0.40506,0.37209,0.96956,0.44444,50,-6479.158,680.215
6,0.45455,0.44444,0.96499,0.46512,49,-6666.238,651.426
7,0.49398,0.49398,0.96804,0.49398,46.5,-6836.53,626.851
8,0.40476,0.39535,0.96347,0.41463,53,-7198.913,642.644
9,0.54054,0.5,0.97869,0.58824,40,-6546.845,669.3
10,0.41558,0.38095,0.97108,0.45714,49,-6929.961,648.059
Avg,0.458,0.42808,0.97169,0.49626,46.6,-6737.798,659.939
Std,0.07621,0.07136,0.00685,0.09606,6.2,198.825,18.259
