Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.93333,0.875,1,1,1,-6832.718,37.735
2,0.92857,0.86667,1,1,1.5,-6861.412,38.024
3,0.93333,0.875,1,1,1,-6661.593,37.457
4,1,1,1,1,1,-6857.983,38.59
5,0.73333,0.73333,0.92857,0.73333,4.5,-6766.432,38.123
6,1,1,1,1,1,-6710.112,47.302
7,0.92857,0.86667,1,1,1.5,-6777.858,48.174
8,1,1,1,1,0,-6746.844,47.429
9,0.92857,0.86667,1,1,1.5,-6756.491,47.352
10,0.92857,0.86667,1,1,1.5,-6773.924,47.627
Avg,0.93143,0.895,0.99286,0.97333,1.45,-6774.537,42.781
Std,0.07307,0.07951,0.02143,0.08,1.106,59.977,4.808
