Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.46597,0.37872,0.98772,0.60544,107.5,-97830.514,2378.806
2,0.46842,0.37553,0.98857,0.62238,105.5,-97680.957,2409.477
3,0.48352,0.39286,0.98899,0.62857,105,-97661.723,2405.714
4,0.45652,0.35897,0.98942,0.62687,106,-97860.888,2423.295
5,0.44086,0.35043,0.98815,0.5942,110,-97502.314,2415.529
6,0.46486,0.37069,0.98899,0.62319,106,-97935.5,2392.765
7,0.43094,0.33333,0.98942,0.60938,109,-98020.323,2464.164
8,0.46067,0.35652,0.99069,0.65079,104,-97596.146,2418.571
9,0.41053,0.33333,0.98561,0.53425,118,-98306.012,2584.796
10,0.45699,0.35865,0.98942,0.62963,105.5,-97350.296,3571.596
Avg,0.45393,0.3609,0.9887,0.61247,107.65,-97774.467,2546.471
Std,0.01999,0.01818,0.00128,0.02992,3.867,262.063,346.138
