Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.4881,0.34746,0.99619,0.82,91,-32870.498,1347.193
2,0.49112,0.35021,0.99619,0.82178,90.5,-32617.056,1287.675
3,0.44767,0.32489,0.99365,0.71963,99.5,-33054.062,1263.241
4,0.47093,0.3361,0.99534,0.78641,93.5,-33009.742,1320.019
5,0.48851,0.35565,0.99492,0.77982,92.5,-32896.567,1397.74
6,0.5,0.35294,0.99704,0.85714,88,-32716.875,991.529
7,0.50909,0.36207,0.99704,0.85714,88,-32500.868,1023.203
8,0.47126,0.34454,0.99407,0.74545,96,-32714.715,972.374
9,0.45509,0.32203,0.99534,0.77551,96,-32815.866,1139.926
10,0.53757,0.38912,0.99704,0.86916,83.5,-32598.659,899.829
Avg,0.48593,0.3485,0.99568,0.8032,91.85,-32779.491,1164.273
Std,0.02509,0.01827,0.00116,0.04766,4.45,172.206,171.562
