Iter,F1 Score,Sensitivity,Specificity,Precision,SHD,BIC Score,Exe Time
1,0.39815,0.35537,0.98301,0.45263,70.5,-57322.732,995.231
2,0.33913,0.31707,0.97778,0.36449,80.5,-58079.525,1011.226
3,0.36937,0.33884,0.98039,0.40594,75.5,-58292.04,1001.706
4,0.42202,0.36508,0.98497,0.5,66,-58900.092,1022.55
5,0.38532,0.35,0.9817,0.42857,73,-58292.784,1007.491
6,0.33962,0.31034,0.98039,0.375,78,-58899.966,1011.796
7,0.48544,0.42373,0.98758,0.56818,60,-57565.535,1013.745
8,0.45133,0.42857,0.9817,0.47664,68.5,-57130.292,1004.348
9,0.42453,0.37815,0.98431,0.48387,67.5,-59079.226,1002.487
10,0.43636,0.4,0.98301,0.48,68,-58385.775,1009.277
Avg,0.40513,0.36672,0.98248,0.45353,70.75,-58194.797,1007.986
Std,0.04537,0.03892,0.00261,0.05869,5.802,643.069,7.196
