1,0.49714,0.37339,0.99365,0.74359,94.5,-32914.458,59.663, 200       37   13   73   15 2347         -1.000,
2,0.51163,0.37288,0.99577,0.81481,89,-32544.491,57.906, 200       39   10   74   10 2352         -1.000,
3,0.47368,0.34177,0.99492,0.77143,94.5,-33080.965,55.496, 200       36    9   78   12 2350         -1.000,
4,0.51829,0.37118,0.99704,0.85859,87.5,-33011.944,70.81, 200       34   17   72    7 2355         -1.000,
5,0.55556,0.40773,0.99704,0.87156,82.5,-32959.587,76.994, 200       41   13   69    7 2355         -1.000,
6,0.47024,0.34199,0.9945,0.75238,96.5,-32771.621,76.045, 200       32   15   76   13 2349         -1.000,
7,0.52632,0.38462,0.99619,0.83333,87,-32530.016,69.588, 200       39   12   72    9 2353         -1.000,
8,0.51724,0.38136,0.99534,0.80357,89,-32719.412,70.685, 200       40   10   73   11 2351         -1.000,
9,0.47239,0.33333,0.99619,0.81053,93.5,-32780.42,70.673, 200       31   15   77    9 2353         -1.000,
10,0.52976,0.38528,0.99661,0.84762,86.5,-32628.817,73.522, 200       37   15   71    8 2354         -1.000,
Avg,0.50723,0.36935,0.99572,0.81074,90.05,-32794.173,68.138,200,        NaN
Std,0.02694,0.02223,0.00106,0.0417,4.251,183.645,7.269,0,        NaN
