网络名,数据集大小,SHD均值(标准差)
Asia,500,1.75(0.84)
Asia,1000,1.60(0.77)
Asia,3000,1.15(0.45)
INS,500,36.15(4.15)
INS,1000,31.75(3.23)
INS,3000,25.00(3.81)
Water,500,50.05(1.56)
Water,1000,48.65(2.15)
Water,3000,44.85(1.63)
Alarm,500,23.80(2.97)
Alarm,1000,20.15(3.50)
Alarm,3000,22.80(4.64)
Hailfinder,500,50.05(5.97)
Hailfinder,1000,46.75(5.02)
Hailfinder,3000,45.55(4.98)
HEPAR,500,101.90(5.49)
HEPAR,1000,90.05(4.25)
HEPAR,3000,71.45(2.33)
Pathfinder,500,190.60(7.70)
Pathfinder,1000,185.65(7.05)
Pathfinder,3000,167.95(6.42)
AND,500,286.95(10.10)
AND,1000,267.40(7.54)
AND,3000,223.75(12.69)
