网络名,数据集大小,F1均值(标准差)
Asia,500,0.9034(0.0569)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9509(0.0322)
INS,500,0.5793(0.0502)
INS,1000,0.6559(0.0406)
INS,3000,0.7642(0.0349)
Water,500,0.4192(0.0234)
Water,1000,0.4436(0.0287)
Water,3000,0.5131(0.0203)
Alarm,500,0.7695(0.0398)
Alarm,1000,0.8264(0.0380)
Alarm,3000,0.8246(0.0534)
Hailfinder,500,0.5733(0.0597)
Hailfinder,1000,0.6098(0.0489)
Hailfinder,3000,0.6388(0.0412)
HEPAR,500,0.4164(0.0359)
HEPAR,1000,0.5072(0.0269)
HEPAR,3000,0.6464(0.0168)
Pathfinder,500,0.2879(0.0412)
Pathfinder,1000,0.3311(0.0263)
Pathfinder,3000,0.4397(0.0303)
AND,500,0.5404(0.0140)
AND,1000,0.5800(0.0103)
AND,3000,0.6674(0.0189)
