"dataset","sampleSize","variant","cacheMode","nodes","iterations","f1","sensitivity","specificity","precision","shd","bestScore","runtimeSec","scoringTimeSec","scoringFraction","globalQueries","globalHits","globalHitRate","localQueries","localHits","localHitRate","globalEntries","localEntries","overwrites","bntCacheCapacity","parentCacheSize","largeHashTargetMB","estimatedCacheKB","estimatedCacheMB","globalCacheKB","localCacheKB","totalCacheKB","globalCacheMB","localCacheMB","totalCacheMB","localLimitEntries","finalLocalEntries","peakLocalEntries","localLimitKB","localUsageRatio","matlabUsedMB","initialAlpha","finalAlpha","alphaUpdates","searchSpaceEdges","TP","TP2","FN","FP","TN"
"Asia","1000","HSM-paper","hsm","8","200","0.92857143","0.86666667","1","1","1.5","-2264.4639","7.812565","5.0201133","0.64256916","40200","32104","0.79860697","64768","64572","0.99697381","8096","196","0","NaN","1600","NaN","312.87109","0.30553818","309.80859","3.0625","312.87109","0.30254745","0.0029907227","0.30553818","12800","196","196","200","0.0153125","3274.1992","0.023901988","0.023901988","0","16","6","1","1","0","28"
"INS","1000","HSM-paper","hsm","27","200","0.69736842","0.56989247","0.99079755","0.89830508","28.5","-16345.614","41.324109","33.599347","0.81306888","40200","9668","0.24049751","824364","821386","0.99638752","30532","2978","0","NaN","5400","NaN","5661.415","5.5287256","5559.6279","101.78711","5661.415","5.4293242","0.099401474","5.5287256","145800","2978","2978","4983.3984","0.02042524","3276.2305","0.010237051","0.060288694","20","158","21","11","20","3","323"
"Water","1000","HSM-paper","hsm","32","200","0.48809524","0.32283465","1","1","45.5","-15580.168","30.778644","24.16008","0.78496247","40200","9527","0.23699005","981536","980258","0.99869796","30673","1278","0","NaN","6400","NaN","4490.0479","4.3848124","4440.126","49.921875","4490.0479","4.3360605","0.048751831","4.3848124","204800","1278","1278","8000","0.0062402344","3247.6484","0.020963607","0.077392385","23","88","18","5","43","0","462"
"Alarm","1000","HSM-paper","hsm","37","200","0.89285714","0.86206897","0.99543379","0.92592593","11.5","-10742.421","52.723928","41.424445","0.78568586","40200","14913","0.37097015","935619","930691","0.9947329","25287","4928","0","NaN","7400","NaN","6346.75","6.197998","6130.1875","216.5625","6346.75","5.9865112","0.21148682","6.197998","273800","4928","4928","12032.227","0.017998539","3284.5039","0.0071782043","0.0071782043","0","258","35","5","6","3","654"
"Hailfinder","1000","HSM-paper","hsm","56","200","0.69298246","0.62204724","0.99281046","0.78217822","37.5","-53333.281","91.700182","78.483713","0.85587303","40200","8187","0.20365672","1792728","1788434","0.99760477","32013","4294","0","NaN","11200","NaN","9542.6572","9.3190012","9274.2822","268.375","9542.6572","9.0569162","0.26208496","9.3190012","627200","4294","4294","39200","0.006846301","3293.7812","0.0075299155","0.074785148","27","324","37","5","24","11","1519"
"HEPAR","1000","HSM-paper","hsm","70","200","0.54237288","0.39669421","0.99661304","0.85714286","83","-32820.301","81.044119","63.29673","0.78101571","40200","12523","0.31151741","1937390","1934750","0.99863734","27677","2640","0","NaN","14000","NaN","8477.8359","8.2791367","8276.7422","201.09375","8477.8359","8.082756","0.19638062","8.2791367","980000","2640","2640","74648.438","0.0026938776","3317.9492","0.0060343612","0.0060343612","0","143","46","4","73","8","2354"
"Win95pts","1000","HSM-paper","hsm","76","200","0.67875648","0.60930233","0.99289268","0.76608187","66.5","-10271.888","138.10571","108.87835","0.78836965","40200","10258","0.25517413","2275592","2268168","0.99673755","29942","7424","0","NaN","15200","NaN","15878.982","15.506819","15269.982","609","15878.982","14.912092","0.59472656","15.506819","1155200","7424","7424","94762.5","0.0064265928","3298.125","0.0053077155","0.0053077155","0","412","61","9","42","20","2794"
"AND","1000","HSM-paper","hsm","223","200","0.72251309","0.63888889","0.99829532","0.8313253","173","-97151.863","382.17822","222.53766","0.58228767","40200","8607","0.21410448","7045239","7039698","0.99921351","31593","5541","0","NaN","44600","NaN","55341.169","54.04411","54091.197","1249.9717","55341.169","52.823435","1.2206755","54.04411","9945800","5541","5541","2243632.6","0.00055711959","3329.7773","0.0021348784","0.0021348784","0","601","193","28","117","42","24596"
