网络名,数据集大小,F1均值(标准差),SHD均值(标准差),Time均值(标准差)
Asia,1000,0.9110(0.0592),1.60(0.77),6.1(0.3)
INS,1000,0.6729(0.0186),30.30(2.02),60.3(2.8)
Water,1000,0.4407(0.0222),49.05(1.62),37.3(0.9)
Alarm,1000,0.6673(0.0632),31.85(5.55),112.8(5.8)
Hailfinder,1000,0.5686(0.0380),53.00(3.91),123.7(10.2)
HEPAR,1000,0.5275(0.0247),87.10(4.43),109.0(6.1)
Win95pts,1000,0.5198(0.0282),102.15(5.98),265.7(14.1)
AND,1000,0.5528(0.0191),311.45(15.03),2234.9(173.8)
