网络名,数据集大小,F1均值(标准差)
Asia,500,0.9286(0.9039)
Asia,1000,0.9110(0.0592)
Asia,3000,0.9509(0.0322)
INS,500,0.6247(0.0542)
INS,1000,0.6623(0.0627)
INS,3000,0.7446(0.0358)
Water,500,0.4259(0.0286)
Water,1000,0.4429(0.0222)
Water,3000,0.5167(0.0223)
Alarm,500,0.7633(0.0450)
Alarm,1000,0.8274(0.0452)
Alarm,3000,0.8382(0.0486)
Hailfinder,500,0.5791(0.0362)
Hailfinder,1000,0.6019(0.0473)
Hailfinder,3000,0.6238(0.0603)
HEPAR,500,0.4286(0.0210)
HEPAR,1000,0.4984(0.0303)
HEPAR,3000,0.6559(0.0157)
Pathfinder,500,0.2985(0.0361)
Pathfinder,1000,0.3127(0.0414)
Pathfinder,3000,0.4121(0.0338)
AND,500,0.5363(0.0219)
AND,1000,0.5970(0.0143)
AND,3000,0.6677(0.0155)
