网络名,数据集大小,SHD均值(标准差)
Asia,500,1.50(1.70)
Asia,1000,1.60(0.77)
Asia,3000,1.15(0.45)
INS,500,32.35(3.98)
INS,1000,31.30(5.42)
INS,3000,26.80(3.41)
Water,500,49.40(2.06)
Water,1000,48.70(1.47)
Water,3000,44.85(2.01)
Alarm,500,24.05(3.73)
Alarm,1000,19.75(4.06)
Alarm,3000,21.15(4.20)
Hailfinder,500,49.20(3.63)
Hailfinder,1000,48.00(4.41)
Hailfinder,3000,46.85(6.82)
HEPAR,500,100.90(3.44)
HEPAR,1000,91.35(4.71)
HEPAR,3000,69.90(2.63)
Pathfinder,500,186.75(8.25)
Pathfinder,1000,189.40(7.94)
Pathfinder,3000,174.90(8.46)
AND,500,291.55(17.26)
AND,1000,260.75(10.60)
AND,3000,220.60(11.82)
