   1,  0.62667,  0.50538,  0.98466,  0.82456,33.5, -16555.315,     23.224, 200       18   11   23    5  321         -1.000
   2,  0.67949,  0.56989,  0.98466,  0.84127,30.5, -16227.335,     25.681, 200       21   11   20    5  321         -1.000
   3,  0.69231,  0.56250,  0.99080,  0.90000,28.0, -16618.703,     27.674, 200       23    8   21    3  323         -1.000
   4,  0.69620,  0.57895,  0.98773,  0.87302,28.5, -16313.449,     25.280, 200       23    9   20    4  322         -1.000
   5,  0.64103,  0.54348,  0.97853,  0.78125,34.0, -16359.410,     25.500, 200       19   12   21    7  319         -1.000
   6,  0.70513,  0.57895,  0.99080,  0.90164,27.5, -16408.993,     24.085, 200       23    9   20    3  323         -1.000
   7,  0.64865,  0.53333,  0.98466,  0.82759,33.0, -16467.573,     25.983, 200       17   14   21    5  321         -1.000
   8,  0.65278,  0.50538,  0.99387,  0.92157,30.5, -16357.669,     27.384, 200       18   11   23    2  324         -1.000
   9,  0.64000,  0.52174,  0.98466,  0.82759,33.0, -16558.975,     26.000, 200       18   12   22    5  321         -1.000
  10,  0.66216,  0.55056,  0.98466,  0.83051,32.5, -16509.820,     25.015, 200       17   15   20    5  321         -1.000
Avg,  0.66444,  0.54502,  0.98650,  0.85290,31.100, -16437.724,     25.583,200.000,        NaN
Std,  0.02575,  0.02661,  0.00416,  0.04192,2.311,    118.510,      1.272,  0.000,        NaN
   1,  0.63514,  0.51648,  0.98466,  0.82456,33.5, -16608.014,     24.333, 200       17   13   22    5  321         -1.000
   2,  0.58904,  0.48315,  0.97853,  0.75439,37.5, -16303.562,     28.354, 200       14   15   23    7  319         -1.000
   3,  0.65000,  0.54167,  0.98160,  0.81250,32.0, -16408.657,     22.864, 200       22    8   22    6  320         -1.000
   4,  0.66216,  0.52688,  0.99080,  0.89091,30.5, -16478.809,     24.540, 200       19   11   22    3  323         -1.000
   5,  0.68831,  0.58242,  0.98466,  0.84127,30.5, -16216.464,     26.171, 200       20   13   19    5  321         -1.000
   6,  0.69333,  0.56522,  0.99080,  0.89655,29.0, -16711.218,     24.531, 200       20   12   20    3  323         -1.000
   7,  0.65385,  0.54839,  0.98160,  0.80952,32.5, -16233.513,     23.362, 200       20   11   21    6  320         -1.000
   8,  0.66250,  0.54639,  0.98466,  0.84127,30.5, -16157.068,     25.429, 200       23    7   22    5  321         -1.000
   9,  0.70732,  0.59184,  0.98773,  0.87879,27.0, -16406.545,     25.272, 200       26    6   20    4  322         -1.000
  10,  0.71429,  0.57895,  0.99387,  0.93220,26.5, -16419.768,     26.605, 200       23    9   20    2  324         -1.000
Avg,  0.66559,  0.54814,  0.98589,  0.84820,30.950, -16394.362,     25.146,200.000,        NaN
Std,  0.03548,  0.03170,  0.00459,  0.04938,3.045,    166.207,      1.528,  0.000,        NaN
